,attraction_name,attraction_link,attraction_rating,attraction_type,attraction_rank,attraction_duration
0,Central Park,https://www.tripadvisor.com/Attraction_Review-g60763-d105127-Reviews-Central_Park-New_York_City_New_York.html,4.5,Landmark,1,3.0
1,The National 9/11 Memorial & Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d1687489-Reviews-The_National_9_11_Memorial_Museum-New_York_City_New_York.html,4.5,Museum,2,2.5
2,The Metropolitan Museum of Art,https://www.tripadvisor.com/Attraction_Review-g60763-d105125-Reviews-The_Metropolitan_Museum_of_Art-New_York_City_New_York.html,5.0,Museum,3,2.5
3,Top of the Rock,https://www.tripadvisor.com/Attraction_Review-g60763-d587661-Reviews-Top_of_the_Rock-New_York_City_New_York.html,4.5,Landmark,4,1.5
4,Empire State Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104365-Reviews-Empire_State_Building-New_York_City_New_York.html,4.5,Landmark,5,1.5
5,Brooklyn Bridge,https://www.tripadvisor.com/Attraction_Review-g60763-d102741-Reviews-Brooklyn_Bridge-New_York_City_New_York.html,4.5,Landmark,6,1.0
6,Manhattan Skyline,https://www.tripadvisor.com/Attraction_Review-g60763-d267031-Reviews-Manhattan_Skyline-New_York_City_New_York.html,5.0,Landmark,7,0.5
7,The High Line,https://www.tripadvisor.com/Attraction_Review-g60763-d519474-Reviews-The_High_Line-New_York_City_New_York.html,4.5,Landmark,8,2.5
8,Statue of Liberty,https://www.tripadvisor.com/Attraction_Review-g60763-d103887-Reviews-Statue_of_Liberty-New_York_City_New_York.html,4.5,Landmark,9,3.0
9,One World Observatory,https://www.tripadvisor.com/Attraction_Review-g60763-d8072300-Reviews-One_World_Observatory-New_York_City_New_York.html,4.5,Landmark,10,1.5
10,Grand Central Terminal,https://www.tripadvisor.com/Attraction_Review-g60763-d103371-Reviews-Grand_Central_Terminal-New_York_City_New_York.html,4.5,Landmark,11,1.5
11,Broadway,https://www.tripadvisor.com/Attraction_Review-g60763-d143361-Reviews-Broadway-New_York_City_New_York.html,4.5,Landmark,12,0.5
12,New York Public Library,https://www.tripadvisor.com/Attraction_Review-g60763-d116236-Reviews-New_York_Public_Library-New_York_City_New_York.html,4.5,Museum,13,0.5
13,The Met Cloisters,https://www.tripadvisor.com/Attraction_Review-g60763-d106609-Reviews-The_Met_Cloisters-New_York_City_New_York.html,4.5,Landmark,14,3.0
